Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,Below 1.5%,Romania,Friendly,"$4,688",Europe,12/1/2010,1.1%,44%,78745,9,,35031,$165B,"$8,149",5.9%,$457,222,0.012,40%,0.141,74,77,70,111%,1,0.15,0.701,0.148,20.2M,53.8%,$2B,$2B
Below Threshold,Below 1.5%,Slovakia,Very Friendly,"$14,064",Europe,12/1/2010,1.1%,47%,36094,18,,17828,$87B,"$16,151",9.0%,"$1,446",257,0.007,76%,,76,79,72,109%,1,0.151,0.726,0.123,5.4M,54.7%,$2B,$2B
Below Threshold,Below 1.5%,Poland,Very Friendly,"$9,376",Europe,12/1/2010,1.1%,40%,317254,32,,101539,$470B,"$12,309",7.0%,$860,325,0.005,62%,,77,81,72,123%,1,0.15,0.715,0.135,38.2M,60.9%,$10B,$9B
Below Threshold,Below 1.5%,North Macedonia,Very Friendly,$0,Europe,12/1/2010,1.1%,8%,10873,3,,2883,$9B,"$4,442",7.0%,$309,119,0.009,52%,0.095,75,77,73,102%,1,0.174,0.709,0.117,2.1M,57.0%,$0B,$0B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$18,752",Europe,12/1/2010,1.1%,48%,111752,20,,44043,$198B,"$18,903",7.4%,"$1,404",557,0.003,69%,0.059,78,81,74,123%,1,0.142,0.704,0.154,10.5M,73.3%,$8B,$4B
Below Threshold,Below 1.5%,Slovenia,Very Friendly,"$18,752",Europe,12/1/2010,1.1%,35%,15328,6,,7230,$47B,"$22,942",8.9%,"$2,044",260,0.003,70%,,80,83,76,103%,1,0.14,0.693,0.167,2.0M,50.0%,$3B,$1B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$56,256",Europe,12/1/2010,1.1%,28%,46303,6,,19307,$313B,"$56,420",11.1%,"$6,266",135,0.003,89%,,79,81,77,116%,1,0.18,0.654,0.167,5.5M,86.8%,$6B,$9B
Below Threshold,Below 1.5%,Finland,Very Friendly,"$42,192",Europe,12/1/2010,1.1%,41%,61844,14,,36429,$237B,"$44,189",9.0%,"$3,978",243,0.003,87%,,80,83,77,156%,1,0.165,0.664,0.171,5.4M,83.6%,$5B,$5B
Below Threshold,Below 1.5%,Netherlands,Very Friendly,"$42,192",Europe,12/1/2010,1.1%,39%,182078,8,,83426,$777B,"$46,764",12.1%,"$5,676",134,0.004,91%,0.018,81,83,79,115%,1,0.175,0.671,0.154,16.6M,87.1%,$19B,$20B
Below Threshold,Below 1.5%,San Marino,Friendly,,Europe,12/1/2010,1.1%,,,,,,,,5.3%,"$3,319",,0.003,,0.054,83,86,80,99%,1,,,,0.0M,94.1%,,
Below Threshold,Below 1.5%,Moldova,Friendly,$0,Europe,12/1/2010,1.2%,30%,4855,10,,3426,$6B,"$1,632",11.7%,$190,228,0.015,32%,0.164,69,72,65,71%,1,0.167,0.722,0.112,3.6M,44.9%,$0B,$0B
Below Threshold,Below 1.5%,Lithuania,Very Friendly,"$9,376",Europe,12/1/2010,1.2%,45%,13561,22,,7052,$37B,"$11,852",7.0%,$782,175,0.006,62%,0.06,74,79,68,159%,1,0.152,0.693,0.155,3.1M,66.8%,$1B,$1B
Below Threshold,Below 1.5%,Estonia,Very Friendly,"$14,064",Europe,12/1/2010,1.2%,49%,18339,7,,5568,$19B,"$14,295",6.3%,$894,81,0.004,74%,0.078,76,81,71,127%,1,0.154,0.671,0.175,1.3M,68.1%,$1B,$1B
Below Threshold,Below 1.5%,Montenegro,Very Friendly,"$4,688",Europe,12/1/2010,1.2%,25%,2582,10,,1174,$4B,"$6,636",7.2%,$476,372,0.006,38%,0.095,75,77,72,189%,1,0.195,0.681,0.125,0.6M,63.1%,$1B,$0B
Below Threshold,Below 1.5%,Cyprus,Very Friendly,"$18,752",Europe,12/1/2010,1.2%,22%,7708,8,,2443,$23B,"$20,959",7.4%,"$2,012",149,0.003,53%,,79,81,77,94%,1,0.178,0.707,0.116,1.1M,67.6%,$2B,$1B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$42,192",Europe,12/1/2010,1.2%,57%,108947,4,,60892,$471B,"$43,131",10.5%,"$4,570",156,0.004,75%,,81,83,78,111%,1,0.168,0.661,0.172,10.9M,97.6%,$12B,$21B
Below Threshold,Below 1.5%,Luxembourg,Friendly,"$98,448",Europe,12/1/2010,1.2%,20%,10829,19,,4220,$52B,"$102,679",7.2%,"$7,592",59,0.002,91%,,81,84,78,143%,1,0.176,0.684,0.14,0.5M,88.5%,$4B,$4B
Below Threshold,Below 1.5%,Sweden,Very Friendly,"$46,880",Europe,12/1/2010,1.2%,52%,52515,16,,51315,$463B,"$49,370",9.5%,"$4,694",122,0.003,90%,,82,84,80,117%,1,0.165,0.653,0.182,9.4M,85.1%,$11B,$15B
Below Threshold,Below 1.5%,Russia,Moderate,"$9,376",Europe,12/1/2010,1.3%,47%,1740776,29,,702292,"$1,520B","$10,675",6.3%,$669,320,0.01,43%,0.108,69,75,63,166%,1,0.149,0.72,0.131,142.4M,73.7%,$13B,$30B
Below Threshold,Below 1.5%,Albania,Friendly,$0,Europe,12/1/2010,1.3%,33%,4283,6,,2059,$12B,"$4,175",5.5%,$207,360,0.015,45%,0.128,77,80,74,86%,1,0.228,0.671,0.101,2.9M,52.2%,$2B,$1B
Below Threshold,Below 1.5%,France,Very Friendly,"$37,504",Europe,12/1/2010,1.3%,65%,361273,7,,261157,"$2,570B","$39,524",11.7%,"$4,634",132,0.004,77%,,82,85,78,91%,1,0.184,0.648,0.168,65.0M,78.3%,$56B,$46B
Below Threshold,Below 1.5%,United Kingdom,Very Friendly,"$32,816",Europe,12/1/2010,1.3%,36%,493505,12,,201829,"$2,300B","$36,644",9.6%,"$3,489",110,0.004,85%,0.005,81,82,79,124%,1,0.176,0.659,0.166,62.8M,81.3%,$41B,$61B
Below Threshold,Below 1.5%,Norway,Very Friendly,"$84,384",Europe,12/1/2010,1.3%,41%,57187,7,,32338,$421B,"$86,107",10.0%,"$8,694",87,0.003,93%,,81,83,79,115%,1,0.188,0.662,0.15,4.9M,79.1%,$5B,$15B
Below Threshold,1.5-3%,Iceland,Very Friendly,"$37,504",Europe,12/1/2010,1.5%,26%,1962,5,,5369,$13B,"$39,507",9.4%,"$3,730",140,0.002,93%,0.103,82,84,80,107%,1,0.209,0.669,0.121,0.3M,93.6%,$1B,$1B
Below Threshold,1.5-3%,Ireland,Very Friendly,"$42,192",Europe,12/1/2010,1.7%,25%,40000,13,,14219,$209B,"$45,832",9.3%,"$4,320",76,0.004,70%,,81,83,79,105%,1,0.213,0.673,0.113,4.6M,61.8%,$8B,$7B
Below Threshold,1.5-3%,Turkey,Friendly,"$9,376",Europe,12/1/2010,1.8%,43%,298002,6,,105133,$731B,"$10,133",6.8%,$680,226,0.02,40%,,75,78,71,86%,1,0.267,0.662,0.071,72.1M,70.7%,$26B,$6B
Below Threshold,1.5-3%,Kosovo,Friendly,$0,Europe,12/1/2010,1.9%,17%,,58,,2496,$6B,"$3,233",,,163,,,0.143,70,72,68,,1,0.275,0.659,0.067,1.8M,,,
Below Threshold,Above 3%,Isle of Man,Not Clustered,,Europe,12/1/2011,,,,,,,,,,,,,,,,,,,1,,,,0.1M,52.0%,,
Below Threshold,Above 3%,Andorra,Not Clustered,,Europe,12/1/2011,,,,,,,,,7.2%,"$3,053",,0.002,81%,,,,,84%,1,,,,0.1M,87.3%,,
Below Threshold,Above 3%,Monaco,Not Clustered,"$159,392",Europe,12/1/2011,,,,,,,$6B,"$163,026",4.4%,"$7,180",,0.003,80%,,,,,85%,1,,,,0.0M,100.0%,,
Below Threshold,Below 1.5%,Germany,Very Friendly,"$42,192",Europe,12/1/2011,0.8%,46%,,15,,311770,"$3,630B","$44,378",11.3%,"$4,996",221,0.003,81%,,81,83,78,110%,1,0.133,0.657,0.21,81.8M,74.5%,$53B,
Below Threshold,Below 1.5%,Latvia,Very Friendly,"$9,376",Europe,12/1/2011,0.9%,37%,,16,,4371,$28B,"$13,827",6.0%,$826,290,0.008,70%,0.064,74,79,69,111%,1,0.143,0.672,0.185,2.1M,67.6%,$1B,$1B
Below Threshold,Below 1.5%,Hungary,Friendly,"$9,376",Europe,12/1/2011,0.9%,52%,,4,,24964,$137B,"$13,739",7.9%,"$1,096",277,0.006,68%,0.083,75,79,71,117%,1,0.146,0.685,0.169,10.0M,69.3%,$7B,$3B
Below Threshold,Below 1.5%,Serbia,Friendly,"$4,688",Europe,12/1/2011,0.9%,34%,,13,,16185,$44B,"$6,048",10.3%,$622,279,0.006,42%,0.172,75,77,72,130%,1,0.167,0.695,0.138,7.2M,55.3%,$1B,$1B
Below Threshold,Below 1.5%,Bosnia and Herzegovina,Moderate,"$4,688",Europe,12/1/2011,0.9%,24%,,40,,7095,$18B,"$4,754",9.9%,$471,422,0.006,60%,0.074,76,79,73,83%,1,0.169,0.678,0.153,3.8M,39.3%,$1B,$0B
Below Threshold,Below 1.5%,Portugal,Very Friendly,"$18,752",Europe,12/1/2011,0.9%,43%,,4,,23084,$238B,"$22,543",10.2%,"$2,302",275,0.003,55%,,81,84,77,116%,1,0.15,0.667,0.182,10.6M,61.2%,$15B,$5B
Below Threshold,Below 1.5%,Austria,Very Friendly,"$46,880",Europe,12/1/2011,0.9%,52%,,25,,33019,$416B,"$49,487",11.3%,"$5,643",170,0.003,79%,,81,84,78,154%,1,0.146,0.673,0.181,8.4M,65.9%,$22B,$13B
Below Threshold,Below 1.5%,Italy,Friendly,"$32,816",Europe,12/1/2011,0.9%,68%,,6,,167416,"$2,200B","$37,050",9.2%,"$3,339",285,0.003,54%,0.046,83,85,80,158%,1,0.14,0.654,0.205,59.4M,68.4%,$45B,$36B
Below Threshold,Below 1.5%,Romania,Friendly,"$4,688",Europe,12/1/2011,1.0%,43%,,14,,35830,$183B,"$9,083",5.6%,$480,222,0.012,40%,0.121,75,78,71,107%,1,0.15,0.701,0.149,20.1M,54.0%,$2B,$2B
Below Threshold,Below 1.5%,Bulgaria,Friendly,"$4,688",Europe,12/1/2011,1.0%,27%,,18,,19216,$54B,"$7,286",7.3%,$522,500,0.011,48%,0.106,75,78,71,143%,1,0.134,0.68,0.186,7.3M,72.6%,$5B,$1B
Below Threshold,Below 1.5%,Poland,Very Friendly,"$9,376",Europe,12/1/2011,1.0%,40%,,32,,101313,$516B,"$13,391",6.8%,$915,296,0.005,62%,,77,81,73,131%,1,0.149,0.713,0.137,38.5M,60.8%,$12B,$9B
Below Threshold,Below 1.5%,Croatia,Friendly,"$14,064",Europe,12/1/2011,1.0%,22%,,8,,8439,$62B,"$14,372",6.8%,$992,196,0.004,58%,0.097,77,80,74,118%,1,0.151,0.671,0.177,4.3M,57.8%,$10B,$1B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$18,752",Europe,12/1/2011,1.0%,48%,,20,,43429,$216B,"$20,579",7.5%,"$1,545",557,0.003,71%,0.057,78,81,75,124%,1,0.143,0.699,0.158,10.5M,73.2%,$9B,$5B
Below Threshold,Below 1.5%,Greece,Friendly,"$23,440",Europe,12/1/2011,1.0%,46%,,11,,26723,$290B,"$26,072",9.0%,"$2,304",224,0.004,52%,,81,84,78,109%,1,0.146,0.663,0.192,11.1M,76.6%,$15B,$3B
Below Threshold,Below 1.5%,Malta,Friendly,"$18,752",Europe,12/1/2011,1.0%,41%,,40,,857,$9B,"$22,346",8.7%,"$1,900",139,0.005,68%,0.047,81,83,79,122%,1,0.153,0.697,0.15,0.4M,94.8%,$1B,$0B
Below Threshold,Below 1.5%,San Marino,Friendly,,Europe,12/1/2011,1.0%,,,,,,,,5.5%,"$3,553",,0.003,50%,0.059,83,86,80,114%,1,,,,0.0M,94.1%,,
Below Threshold,Below 1.5%,Spain,Very Friendly,"$28,128",Europe,12/1/2011,1.0%,39%,,28,,125570,"$1,450B","$31,021",9.3%,"$2,978",187,0.004,68%,,83,86,80,113%,1,0.151,0.677,0.173,46.7M,78.7%,$68B,$24B
Below Threshold,Below 1.5%,Switzerland,Very Friendly,"$79,696",Europe,12/1/2011,1.0%,29%,,18,,25375,$659B,"$83,287",11.0%,"$9,248",63,0.004,85%,0.027,83,85,81,127%,1,0.149,0.679,0.172,7.9M,73.7%,$21B,$17B
Below Threshold,Below 1.5%,Ukraine,Moderate,$0,Europe,12/1/2011,1.1%,57%,,24,,126438,$163B,"$3,566",7.3%,$262,657,0.01,29%,0.159,71,76,66,121%,1,0.14,0.704,0.156,45.7M,68.9%,$5B,$5B
Below Threshold,Below 1.5%,Lithuania,Very Friendly,"$14,064",Europe,12/1/2011,1.1%,43%,,22,,7287,$43B,"$14,228",6.7%,$887,175,0.005,64%,,74,79,68,162%,1,0.151,0.693,0.155,3.0M,66.7%,$1B,$1B
Below Threshold,Below 1.5%,Estonia,Very Friendly,"$14,064",Europe,12/1/2011,1.1%,58%,,7,,5603,$23B,"$16,982",5.8%,$928,81,0.003,77%,0.061,76,81,71,144%,1,0.155,0.668,0.176,1.3M,68.0%,$2B,$1B
Below Threshold,Below 1.5%,Slovakia,Very Friendly,"$14,064",Europe,12/1/2011,1.1%,48%,,18,,17349,$96B,"$17,760",7.9%,"$1,415",231,0.007,74%,,76,80,72,110%,1,0.15,0.725,0.125,5.4M,54.4%,$3B,$2B
Below Threshold,Below 1.5%,North Macedonia,Very Friendly,"$4,688",Europe,12/1/2011,1.1%,8%,,3,,3122,$10B,"$4,941",6.9%,$344,119,0.008,57%,0.089,75,77,73,105%,1,0.171,0.71,0.118,2.1M,57.0%,$0B,$0B
Below Threshold,Below 1.5%,Slovenia,Very Friendly,"$23,440",Europe,12/1/2011,1.1%,34%,,6,,7249,$50B,"$24,478",8.9%,"$2,171",260,0.003,67%,,80,83,77,105%,1,0.141,0.691,0.169,2.1M,49.9%,$3B,$1B
Below Threshold,Below 1.5%,Finland,Very Friendly,"$46,880",Europe,12/1/2011,1.1%,39%,,14,,34749,$262B,"$48,624",9.0%,"$4,411",93,0.002,89%,,81,84,77,166%,1,0.164,0.659,0.177,5.4M,83.7%,$6B,$6B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$56,256",Europe,12/1/2011,1.1%,26%,,6,,17997,$334B,"$59,958",10.9%,"$6,521",135,0.003,90%,,80,82,78,129%,1,0.178,0.651,0.171,5.6M,87.0%,$6B,$10B
Below Threshold,Below 1.5%,Netherlands,Very Friendly,"$46,880",Europe,12/1/2011,1.1%,40%,,8,,77419,$833B,"$49,901",11.9%,"$5,997",127,0.004,91%,0.02,81,83,79,119%,1,0.173,0.667,0.159,16.7M,87.8%,$21B,$21B
Below Threshold,Below 1.5%,Luxembourg,Friendly,"$107,824",Europe,12/1/2011,1.1%,20%,,19,,4171,$58B,"$111,913",6.7%,"$7,751",59,0.002,90%,,82,84,79,148%,1,0.175,0.685,0.14,0.5M,88.9%,$5B,$4B
Below Threshold,Below 1.5%,Liechtenstein,Not Clustered,,Europe,12/1/2011,1.1%,,,,,,,,,,,,85%,,82,84,80,102%,1,,,,0.0M,14.4%,,
Below Threshold,Below 1.5%,Moldova,Friendly,$0,Europe,12/1/2011,1.2%,31%,,9,,3331,$7B,"$1,971",11.4%,$224,228,0.014,38%,0.144,69,73,65,91%,1,0.165,0.723,0.112,3.6M,44.9%,$0B,$0B
Below Threshold,Below 1.5%,Belarus,Friendly,"$4,688",Europe,12/1/2011,1.2%,62%,,10,,29501,$60B,"$6,306",4.9%,$311,654,0.004,40%,0.136,71,77,65,113%,1,0.149,0.712,0.138,9.5M,75.0%,$1B,$1B
Below Threshold,Below 1.5%,Montenegro,Very Friendly,"$4,688",Europe,12/1/2011,1.2%,21%,,10,,1179,$5B,"$7,253",7.2%,$522,372,0.006,36%,0.097,75,77,72,187%,1,0.193,0.682,0.126,0.6M,63.3%,$1B,$0B
Below Threshold,Below 1.5%,Cyprus,Very Friendly,"$18,752",Europe,12/1/2011,1.2%,22%,,8,,2368,$25B,"$22,258",7.4%,"$2,123",149,0.003,57%,,80,82,77,98%,1,0.174,0.708,0.118,1.1M,67.4%,$3B,$2B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$42,192",Europe,12/1/2011,1.2%,57%,,4,,59094,$513B,"$46,435",10.5%,"$4,914",156,0.004,82%,,81,83,78,114%,1,0.168,0.658,0.174,11.0M,97.7%,$13B,$24B
Below Threshold,Below 1.5%,Faeroe Islands,Not Clustered,,Europe,12/1/2011,1.2%,,,,,,,,,,,,81%,,82,84,79,118%,1,,,,0.0M,41.1%,,
Below Threshold,Below 1.5%,Norway,Very Friendly,"$98,448",Europe,12/1/2011,1.2%,41%,,7,,28137,$491B,"$99,130",9.9%,"$9,908",87,0.003,94%,,82,84,79,116%,1,0.187,0.661,0.152,5.0M,79.4%,$6B,$17B
Below Threshold,Below 1.5%,Sweden,Very Friendly,"$56,256",Europe,12/1/2011,1.2%,52%,,16,,49045,$536B,"$56,724",9.5%,"$5,419",122,0.002,93%,,82,84,80,121%,1,0.166,0.649,0.185,9.4M,85.2%,$13B,$17B
Below Threshold,Below 1.5%,Russia,Moderate,"$9,376",Europe,12/1/2011,1.3%,47%,,29,,730970,"$1,900B","$13,291",6.1%,$803,290,0.01,49%,0.085,70,76,64,142%,1,0.151,0.718,0.13,143.0M,73.7%,$17B,$37B
Below Threshold,Below 1.5%,Albania,Friendly,$0,Europe,12/1/2011,1.3%,32%,,6,,2173,$13B,"$4,556",6.0%,$243,371,0.014,49%,0.124,77,80,74,98%,1,0.221,0.676,0.103,2.8M,53.2%,$2B,$2B
Below Threshold,Below 1.5%,United Kingdom,Very Friendly,"$37,504",Europe,12/1/2011,1.3%,36%,,12,,188074,"$2,460B","$38,888",9.4%,"$3,659",110,0.004,85%,0.005,81,83,79,124%,1,0.175,0.656,0.169,63.3M,81.6%,$46B,$65B
Below Threshold,Below 1.5%,France,Very Friendly,"$42,192",Europe,12/1/2011,1.3%,65%,,7,,252827,"$2,780B","$42,544",11.6%,"$4,968",132,0.004,78%,,83,86,79,94%,1,0.183,0.646,0.171,65.3M,78.6%,$66B,$54B
Below Threshold,Below 1.5%,Iceland,Very Friendly,"$42,192",Europe,12/1/2011,1.4%,30%,,5,,5731,$14B,"$44,019",9.2%,"$4,051",140,0.002,95%,0.077,83,84,81,107%,1,0.208,0.669,0.123,0.3M,93.7%,$1B,$1B
Below Threshold,1.5-3%,Ireland,Very Friendly,"$46,880",Europe,12/1/2011,1.6%,25%,,13,,13216,$226B,"$49,380",8.8%,"$4,306",76,0.003,75%,,81,83,79,109%,1,0.215,0.67,0.115,4.6M,62.1%,$10B,$7B
Below Threshold,1.5-3%,Turkey,Friendly,"$9,376",Europe,12/1/2011,1.7%,40%,,6,,112459,$775B,"$10,608",6.1%,$644,226,0.019,43%,,75,78,71,89%,1,0.264,0.665,0.072,73.1M,71.3%,$30B,$5B
Below Threshold,1.5-3%,Kosovo,Friendly,$0,Europe,12/1/2011,1.8%,15%,,58,,2528,$7B,"$3,702",,,164,,,0.139,70,72,68,,1,,,,1.8M,,,
Below Threshold,Above 3%,Isle of Man,Not Clustered,,Europe,12/1/2012,,,,,,,,,,,,,,,,,,,1,,,,0.1M,52.0%,,
Below Threshold,Above 3%,Monaco,Not Clustered,,Europe,12/1/2012,,,,,,,,,4.4%,"$6,708",,0.003,87%,,,,,88%,1,,,,0.0M,100.0%,,
Below Threshold,Below 1.5%,Germany,Very Friendly,"$42,192",Europe,12/1/2012,0.8%,46%,,15,19,307381,"$3,430B","$42,648",11.3%,"$4,683",207,0.003,82%,,81,83,79,112%,1,0.132,0.657,0.211,80.4M,74.7%,$52B,$96B
Below Threshold,Below 1.5%,Hungary,Friendly,"$9,376",Europe,12/1/2012,0.9%,50%,,5,52,23499,$125B,"$12,600",7.8%,$987,277,0.005,71%,0.09,76,79,72,116%,1,0.146,0.683,0.17,9.9M,69.8%,$6B,$3B
Below Threshold,Below 1.5%,Serbia,Friendly,"$4,688",Europe,12/1/2012,0.9%,34%,,12,87,,$38B,"$5,294",10.5%,$561,279,0.006,48%,0.182,76,78,73,118%,1,0.165,0.695,0.14,7.2M,55.3%,$1B,$1B
Below Threshold,Below 1.5%,Bosnia and Herzegovina,Moderate,$0,Europe,12/1/2012,0.9%,24%,,37,130,,$17B,"$4,396",9.9%,$447,407,0.006,65%,0.069,77,79,74,88%,1,0.163,0.682,0.155,3.8M,39.4%,$1B,$0B
Below Threshold,Below 1.5%,Portugal,Very Friendly,"$18,752",Europe,12/1/2012,0.9%,42%,,4,29,21949,$212B,"$20,162",9.4%,"$1,905",275,0.003,60%,,81,84,77,114%,1,0.149,0.666,0.185,10.5M,61.8%,$15B,$4B
Below Threshold,Below 1.5%,Greece,Friendly,"$18,752",Europe,12/1/2012,0.9%,44%,,12,89,25991,$248B,"$22,357",9.3%,"$2,044",202,0.004,55%,,81,83,78,120%,1,0.146,0.66,0.194,11.1M,77.0%,$13B,$2B
Below Threshold,Below 1.5%,Austria,Very Friendly,"$42,192",Europe,12/1/2012,0.9%,52%,,25,28,32896,$394B,"$46,738",11.5%,"$5,407",170,0.003,80%,,81,84,78,161%,1,0.145,0.672,0.182,8.4M,65.9%,$21B,$12B
Below Threshold,Below 1.5%,Italy,Friendly,"$32,816",Europe,12/1/2012,0.9%,68%,,6,67,158616,"$2,010B","$33,759",9.2%,"$3,032",269,0.003,56%,0.052,83,86,80,160%,1,0.14,0.651,0.208,59.5M,68.6%,$43B,$33B
Below Threshold,Below 1.5%,Andorra,Not Clustered,,Europe,12/1/2012,1.0%,,,,,,,,8.3%,"$3,057",,0.002,86%,,,,,82%,1,,,,0.1M,86.7%,,
Below Threshold,Below 1.5%,San Marino,Friendly,,Europe,12/1/2012,1.0%,42%,,40,74,,,,6.5%,"$3,792",52,0.003,51%,,,,,115%,1,,,,0.0M,94.1%,,
Below Threshold,Below 1.5%,Lithuania,Very Friendly,"$14,064",Europe,12/1/2012,1.0%,43%,,20,25,,$42B,"$14,172",6.7%,$859,175,0.005,67%,,74,80,68,165%,1,0.151,0.693,0.156,3.0M,66.6%,$1B,$1B
Below Threshold,Below 1.5%,Latvia,Very Friendly,"$9,376",Europe,12/1/2012,1.0%,36%,,16,24,,$28B,"$13,947",6.0%,$792,264,0.008,73%,0.055,74,79,69,112%,1,0.146,0.669,0.185,2.0M,67.5%,$1B,$1B
Below Threshold,Below 1.5%,Romania,Friendly,"$4,688",Europe,12/1/2012,1.0%,43%,,10,73,,$169B,"$8,418",5.1%,$420,216,0.011,46%,0.113,75,78,71,105%,1,0.15,0.7,0.15,20.1M,54.1%,$2B,$2B
Below Threshold,Below 1.5%,Bulgaria,Friendly,"$4,688",Europe,12/1/2012,1.0%,28%,,18,57,,$51B,"$7,022",7.4%,$516,454,0.011,52%,0.097,75,78,71,148%,1,0.135,0.675,0.189,7.3M,73.0%,$4B,$1B
Below Threshold,Below 1.5%,Slovakia,Very Friendly,"$14,064",Europe,12/1/2012,1.0%,47%,,14,43,16676,$91B,"$16,893",7.8%,"$1,326",207,0.006,77%,,77,80,73,112%,1,0.15,0.723,0.127,5.4M,54.2%,$2B,$2B
Below Threshold,Below 1.5%,Poland,Very Friendly,"$9,376",Europe,12/1/2012,1.0%,40%,,32,48,96543,$490B,"$12,715",6.7%,$854,286,0.005,62%,,77,81,73,142%,1,0.149,0.71,0.14,38.5M,60.7%,$12B,$9B
Below Threshold,Below 1.5%,Croatia,Friendly,"$9,376",Europe,12/1/2012,1.0%,22%,,8,88,,$56B,"$13,159",6.8%,$908,196,0.004,62%,0.095,77,80,74,115%,1,0.15,0.67,0.18,4.3M,58.1%,$9B,$1B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$14,064",Europe,12/1/2012,1.0%,48%,,20,68,42823,$196B,"$18,648",7.7%,"$1,432",413,0.003,73%,0.054,78,81,75,127%,1,0.146,0.692,0.162,10.5M,73.1%,$8B,$4B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$56,256",Europe,12/1/2012,1.0%,27%,,6,5,17041,$315B,"$56,335",11.2%,"$6,304",130,0.003,92%,,80,82,78,130%,1,0.177,0.649,0.175,5.6M,87.1%,$6B,$10B
Below Threshold,Below 1.5%,Malta,Friendly,"$18,752",Europe,12/1/2012,1.0%,41%,,40,100,,$9B,"$21,130",9.1%,"$1,835",139,0.005,68%,0.047,81,83,79,124%,1,0.15,0.694,0.156,0.4M,95.0%,$1B,$0B
Below Threshold,Below 1.5%,Liechtenstein,Not Clustered,,Europe,12/1/2012,1.0%,,,,,,,,,,,,89%,,83,85,80,97%,1,,,,0.0M,14.4%,,
Below Threshold,Below 1.5%,Spain,Very Friendly,"$28,128",Europe,12/1/2012,1.0%,39%,,28,46,124679,"$1,320B","$28,228",9.6%,"$2,808",167,0.004,70%,,83,85,80,108%,1,0.152,0.673,0.175,46.8M,78.9%,$63B,$22B
Below Threshold,Below 1.5%,Switzerland,Very Friendly,"$75,008",Europe,12/1/2012,1.0%,29%,,18,27,25500,$631B,"$78,906",11.3%,"$8,980",63,0.004,85%,0.027,83,85,81,132%,1,0.148,0.678,0.174,8.0M,73.7%,$19B,$17B
Below Threshold,Below 1.5%,Ukraine,Moderate,$0,Europe,12/1/2012,1.1%,55%,,22,140,,$177B,"$3,882",7.6%,$293,491,0.009,35%,0.184,71,76,66,130%,1,0.142,0.705,0.153,45.6M,69.1%,$6B,$6B
Below Threshold,Below 1.5%,Estonia,Very Friendly,"$14,064",Europe,12/1/2012,1.1%,66%,,7,21,5721,$22B,"$16,887",5.9%,"$1,010",81,0.003,78%,0.057,77,82,72,160%,1,0.157,0.665,0.178,1.3M,67.8%,$2B,$1B
Below Threshold,Below 1.5%,North Macedonia,Very Friendly,$0,Europe,12/1/2012,1.1%,8%,,2,36,,$10B,"$4,548",7.1%,$327,119,0.007,57%,0.085,75,77,73,106%,1,0.169,0.711,0.12,2.1M,57.0%,$0B,$0B
Below Threshold,Below 1.5%,Slovenia,Very Friendly,"$18,752",Europe,12/1/2012,1.1%,34%,,6,31,7143,$45B,"$22,059",8.8%,"$1,942",260,0.002,68%,,80,83,77,108%,1,0.142,0.688,0.171,2.1M,49.9%,$3B,$1B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$42,192",Europe,12/1/2012,1.1%,58%,,4,32,57286,$483B,"$43,403",10.8%,"$4,711",156,0.004,81%,,81,83,78,111%,1,0.169,0.655,0.176,11.1M,97.7%,$13B,$24B
Below Threshold,Below 1.5%,Finland,Very Friendly,"$42,192",Europe,12/1/2012,1.1%,41%,,14,12,33475,$247B,"$45,623",9.1%,"$4,232",93,0.002,90%,,81,84,78,172%,1,0.164,0.653,0.183,5.4M,83.8%,$5B,$6B
Below Threshold,Below 1.5%,Netherlands,Very Friendly,"$42,192",Europe,12/1/2012,1.1%,39%,,5,30,78220,$770B,"$45,957",12.4%,"$5,737",127,0.004,93%,0.016,81,83,79,118%,1,0.172,0.663,0.164,16.8M,88.6%,$21B,$20B
Below Threshold,Below 1.5%,Luxembourg,Friendly,"$103,136",Europe,12/1/2012,1.1%,20%,,19,56,4080,$55B,"$103,859",6.9%,"$7,452",59,0.002,92%,,82,84,79,145%,1,0.175,0.685,0.141,0.5M,89.2%,$5B,$4B
